0	0.203898
1	0.162885
2	0.129871
3	0.103405
4	0.082561
5	0.066822
6	0.055592
7	0.048065
8	0.043435
9	0.040801
10	0.039656
11	0.039448
12	0.039766
13	0.040418
14	0.041121
15	0.041801
16	0.042347
17	0.042716
18	0.042784
19	0.042845
20	0.042884
21	0.042745
22	0.042606
23	0.042561
24	0.042599
25	0.04285
26	0.043044
27	0.043138
28	0.043165
29	0.043009
30	0.042806
31	0.042836
32	0.042905
33	0.043067
34	0.043278
35	0.043279
36	0.043269
37	0.043233
38	0.043159
39	0.043046
40	0.043088
41	0.043084
42	0.042921
43	0.042669
44	0.04249
45	0.042417
46	0.042253
47	0.042134
48	0.04207
49	0.041994
50	0.041848
51	0.041763
52	0.041943
53	0.042218
54	0.042378
55	0.042484
56	0.042564
57	0.042527
58	0.042206
59	0.041815
60	0.041682
61	0.041765
62	0.041986
63	0.042419
64	0.0429
65	0.043075
66	0.043107
67	0.043081
68	0.042988
69	0.042872
70	0.042806
71	0.042863
72	0.043058
73	0.043099
74	0.043194
